RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645543729057	XUI Journeys for all Services	3.3.1
USER	Way2Pay Pay By Account Scenario 	2	START	1645543730128	1645543730128
USER	Way2Pay Credit Card Scenario 	1	START	1645543730126	1645543730126
REQUEST	2		010_GetAuthToken	1645543730163	1645543730515	OK	 
REQUEST	2		020_GetServiceToken	1645543730566	1645543730643	OK	 
REQUEST	1		010_GetAuthToken	1645543730163	1645543730892	OK	 
REQUEST	1		020_GetServiceToken	1645543730895	1645543730952	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645543740619	1645543742320	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645543740964	1645543742327	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645543757338	1645543758632	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645543757324	1645543770044	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645543773633	1645543774765	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645543785038	1645543786867	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645543789758	1645543791003	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645543801880	1645543803205	OK	 
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645543806017	1645543807793	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645543730128	1645543818199
USER	Way2Pay Credit Card Scenario 	1	END	1645543730126	1645543822778
