RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644946997282	XUI Journeys for all Services	3.3.1
USER	Way2Pay Pay By Account Scenario 	1	START	1644946998379	1644946998379
REQUEST	1		010_GetAuthToken	1644946998408	1644946999352	OK	 
REQUEST	1		020_GetServiceToken	1644946999401	1644946999491	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1644947009467	1644947012006	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1644947012010	1644947015631	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1644947015634	1644947016744	OK	 
REQUEST	1		Ways2Pay_060_W2PPBAPaymentsPOST	1644947016744	1644947017791	OK	 
USER	Way2Pay Pay By Account Scenario 	1	END	1644946998379	1644947017795
