RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644934494684	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1644934495651	1644934495651
REQUEST	1		010_GetAuthToken	1644934495680	1644934496772	OK	 
REQUEST	1		020_GetServiceToken	1644934496813	1644934496863	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1644934506838	1644934509113	OK	 
REQUEST	1		Ways2Pay_070_W2PPBAPaymentsGET	1644934509114	1644934513538	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1644934513541	1644934514535	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1644934514536	1644934515428	OK	 
REQUEST	1		Ways2Pay__060_W2PCardPaymentStatusGET	1644934515428	1644934516877	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1644934495651	1644934516881
