RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644945376145	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1644945377953	1644945377953
REQUEST	1		010_GetAuthToken	1644945377985	1644945380516	OK	 
REQUEST	1		020_GetServiceToken	1644945380569	1644945380729	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1644945390699	1644945393345	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1644945393349	1644945397908	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1644945397910	1644945398909	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1644945398910	1644945399684	OK	 
REQUEST	1		Ways2Pay_070_W2PCardPaymentStatusGET	1644945399685	1644945401199	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1644945377953	1644945401203
