RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644849159358	XUI Journeys for all Services	3.3.1
USER	Online Payments Scenario 	1	START	1644849160301	1644849160301
REQUEST	1		PaymentAPIToken_010_GetAuthToken	1644849160330	1644849161553	OK	 
REQUEST	1		PaymentAPIToken_020_GetServiceToken	1644849161594	1644849161699	OK	 
REQUEST	1		PaymentAPIOnline_010_OnlinePayments	1644849171690	1644849172891	OK	 
USER	Online Payments Scenario 	2	START	1644849190300	1644849190300
REQUEST	2		PaymentAPIToken_010_GetAuthToken	1644849190301	1644849191716	OK	 
REQUEST	2		PaymentAPIToken_020_GetServiceToken	1644849191719	1644849191787	OK	 
USER	Online Payments Scenario 	1	END	1644849160301	1644849202890
REQUEST	2		PaymentAPIOnline_010_OnlinePayments	1644849201797	1644849203171	OK	 
USER	Online Payments Scenario 	2	END	1644849190300	1644849233178
