RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645619020989	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1645619022142	1645619022142
USER	Way2Pay Pay By Account Scenario 	2	START	1645619022144	1645619022144
REQUEST	2		010_GetAuthToken	1645619022180	1645619022750	OK	 
REQUEST	1		010_GetAuthToken	1645619022180	1645619022867	OK	 
REQUEST	2		020_GetServiceToken	1645619022798	1645619022878	OK	 
REQUEST	1		020_GetServiceToken	1645619022869	1645619022929	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645619032935	1645619035661	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645619032874	1645619035736	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645619050674	1645619052999	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645619050716	1645619053654	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645619067992	1645619069899	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645619068662	1645619075567	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645619084904	1645619086583	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645619090554	1645619098702	OK	 
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645619101602	1645619103471	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645619022144	1645619113712
USER	Way2Pay Credit Card Scenario 	1	END	1645619022142	1645619118458
