RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645618540173	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1645618541151	1645618541151
USER	Way2Pay Pay By Account Scenario 	2	START	1645618541153	1645618541153
REQUEST	1		010_GetAuthToken	1645618541186	1645618541959	OK	 
REQUEST	1		020_GetServiceToken	1645618542003	1645618542102	OK	 
REQUEST	2		010_GetAuthToken	1645618541186	1645618542192	OK	 
REQUEST	2		020_GetServiceToken	1645618542195	1645618542246	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645618552272	1645618554502	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645618552083	1645618554618	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645618569627	1645618572680	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645618569503	1645618572684	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645618587674	1645618589564	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645618587674	1645618589565	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645618604573	1645618605895	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645618604573	1645618606032	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645618541153	1645618621023
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645618620882	1645618622555	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1645618541151	1645618637552
