RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645542889236	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1645542890236	1645542890236
USER	Way2Pay Pay By Account Scenario 	2	START	1645542890238	1645542890238
REQUEST	1		010_GetAuthToken	1645542890276	1645542890818	OK	 
REQUEST	2		010_GetAuthToken	1645542890276	1645542890806	OK	 
REQUEST	1		020_GetServiceToken	1645542890856	1645542890936	OK	 
REQUEST	2		020_GetServiceToken	1645542890856	1645542890943	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645542900906	1645542903026	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645542900917	1645542903599	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645542918596	1645542919844	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645542918048	1645542930756	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645542934858	1645542936082	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645542945757	1645542948075	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645542951076	1645542952404	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645542963083	1645542963255	KO	status.find.is(201), but actually found 400
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645542967396	1645542969296	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645542890238	1645542978245
USER	Way2Pay Credit Card Scenario 	1	END	1645542890236	1645542984321
