RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645013190585	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1645013191679	1645013191679
REQUEST	1		010_GetAuthToken	1645013191712	1645013197956	OK	 
REQUEST	1		020_GetServiceToken	1645013198003	1645013198410	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645013208405	1645013210859	OK	 
USER	Way2Pay Credit Card Scenario 	2	START	1645013214681	1645013214681
REQUEST	2		010_GetAuthToken	1645013214682	1645013216322	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645013210863	1645013216340	OK	 
REQUEST	2		020_GetServiceToken	1645013216326	1645013216429	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013216344	1645013218094	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013218094	1645013218801	OK	 
REQUEST	1		Ways2Pay_070_W2PCardPaymentStatusGET	1645013218802	1645013220635	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1645013191679	1645013220640
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645013226439	1645013227567	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645013227568	1645013231194	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013231195	1645013232279	OK	 
REQUEST	2		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013232280	1645013233670	OK	 
REQUEST	2		Ways2Pay_070_W2PCardPaymentStatusGET	1645013233671	1645013235216	OK	 
USER	Way2Pay Credit Card Scenario 	2	END	1645013214681	1645013235218
USER	Way2Pay Credit Card Scenario 	3	START	1645013237685	1645013237685
REQUEST	3		010_GetAuthToken	1645013237686	1645013238699	OK	 
REQUEST	3		020_GetServiceToken	1645013238700	1645013238855	OK	 
REQUEST	3		Ways2Pay_030_ServiceRequestPOST	1645013248875	1645013251201	OK	 
REQUEST	3		Ways2Pay_040_W2PPBAPaymentsGET	1645013251202	1645013255241	OK	 
REQUEST	3		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013255242	1645013256355	OK	 
REQUEST	3		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013256356	1645013256888	OK	 
REQUEST	3		Ways2Pay_070_W2PCardPaymentStatusGET	1645013256888	1645013258395	OK	 
USER	Way2Pay Credit Card Scenario 	3	END	1645013237685	1645013258396
USER	Way2Pay Credit Card Scenario 	4	START	1645013260695	1645013260695
REQUEST	4		010_GetAuthToken	1645013260696	1645013261485	OK	 
REQUEST	4		020_GetServiceToken	1645013261487	1645013261608	OK	 
REQUEST	4		Ways2Pay_030_ServiceRequestPOST	1645013271617	1645013273592	OK	 
REQUEST	4		Ways2Pay_040_W2PPBAPaymentsGET	1645013273593	1645013277744	OK	 
REQUEST	4		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013277745	1645013279161	OK	 
REQUEST	4		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013279162	1645013279712	OK	 
REQUEST	4		Ways2Pay_070_W2PCardPaymentStatusGET	1645013279712	1645013281862	OK	 
USER	Way2Pay Credit Card Scenario 	4	END	1645013260695	1645013281864
USER	Way2Pay Credit Card Scenario 	5	START	1645013283675	1645013283675
REQUEST	5		010_GetAuthToken	1645013283676	1645013284631	OK	 
REQUEST	5		020_GetServiceToken	1645013284633	1645013284843	OK	 
REQUEST	5		Ways2Pay_030_ServiceRequestPOST	1645013294855	1645013295712	OK	 
REQUEST	5		Ways2Pay_040_W2PPBAPaymentsGET	1645013295713	1645013299487	OK	 
REQUEST	5		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013299488	1645013300697	OK	 
REQUEST	5		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013300697	1645013301344	OK	 
REQUEST	5		Ways2Pay_070_W2PCardPaymentStatusGET	1645013301345	1645013302892	OK	 
