RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645013190585	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	5	END	1645013283675	1645013302894
USER	Way2Pay Credit Card Scenario 	6	START	1645013306675	1645013306675
REQUEST	6		010_GetAuthToken	1645013306676	1645013308310	OK	 
REQUEST	6		020_GetServiceToken	1645013308312	1645013308438	OK	 
REQUEST	6		Ways2Pay_030_ServiceRequestPOST	1645013318463	1645013319853	OK	 
REQUEST	6		Ways2Pay_040_W2PPBAPaymentsGET	1645013319854	1645013324080	OK	 
REQUEST	6		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013324081	1645013325845	OK	 
REQUEST	6		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013325846	1645013326809	OK	 
REQUEST	6		Ways2Pay_070_W2PCardPaymentStatusGET	1645013326810	1645013328119	OK	 
USER	Way2Pay Credit Card Scenario 	6	END	1645013306675	1645013328120
USER	Way2Pay Credit Card Scenario 	7	START	1645013329690	1645013329690
REQUEST	7		010_GetAuthToken	1645013329691	1645013330792	OK	 
REQUEST	7		020_GetServiceToken	1645013330794	1645013330927	OK	 
REQUEST	7		Ways2Pay_030_ServiceRequestPOST	1645013340952	1645013341686	OK	 
REQUEST	7		Ways2Pay_040_W2PPBAPaymentsGET	1645013341687	1645013346240	OK	 
REQUEST	7		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013346241	1645013347864	OK	 
REQUEST	7		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013347864	1645013348842	OK	 
REQUEST	7		Ways2Pay_070_W2PCardPaymentStatusGET	1645013348843	1645013350406	OK	 
USER	Way2Pay Credit Card Scenario 	7	END	1645013329690	1645013350408
USER	Way2Pay Credit Card Scenario 	8	START	1645013352685	1645013352685
REQUEST	8		010_GetAuthToken	1645013352686	1645013353529	OK	 
REQUEST	8		020_GetServiceToken	1645013353531	1645013353611	OK	 
REQUEST	8		Ways2Pay_030_ServiceRequestPOST	1645013363625	1645013364184	OK	 
REQUEST	8		Ways2Pay_040_W2PPBAPaymentsGET	1645013364185	1645013368837	OK	 
REQUEST	8		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013368838	1645013370566	OK	 
REQUEST	8		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013370567	1645013372793	OK	 
REQUEST	8		Ways2Pay_070_W2PCardPaymentStatusGET	1645013372793	1645013375343	OK	 
USER	Way2Pay Credit Card Scenario 	8	END	1645013352685	1645013375359
USER	Way2Pay Credit Card Scenario 	9	START	1645013375685	1645013375685
REQUEST	9		010_GetAuthToken	1645013375686	1645013378851	OK	 
REQUEST	9		020_GetServiceToken	1645013378853	1645013379397	OK	 
REQUEST	9		Ways2Pay_030_ServiceRequestPOST	1645013389422	1645013391055	OK	 
REQUEST	9		Ways2Pay_040_W2PPBAPaymentsGET	1645013391056	1645013396911	OK	 
REQUEST	9		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013396912	1645013398458	OK	 
USER	Way2Pay Credit Card Scenario 	10	START	1645013398685	1645013398685
REQUEST	9		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013398459	1645013400539	OK	 
REQUEST	9		Ways2Pay_070_W2PCardPaymentStatusGET	1645013400540	1645013402499	OK	 
USER	Way2Pay Credit Card Scenario 	9	END	1645013375685	1645013402500
REQUEST	10		010_GetAuthToken	1645013398687	1645013407925	OK	 
REQUEST	10		020_GetServiceToken	1645013407926	1645013408115	OK	 
REQUEST	10		Ways2Pay_030_ServiceRequestPOST	1645013418140	1645013420810	OK	 
USER	Way2Pay Credit Card Scenario 	11	START	1645013421677	1645013421677
REQUEST	11		010_GetAuthToken	1645013421678	1645013423290	OK	 
REQUEST	11		020_GetServiceToken	1645013423292	1645013423400	OK	 
REQUEST	10		Ways2Pay_040_W2PPBAPaymentsGET	1645013420811	1645013424688	OK	 
REQUEST	10		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013424689	1645013426252	OK	 
REQUEST	10		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013426252	1645013427216	OK	 
REQUEST	10		Ways2Pay_070_W2PCardPaymentStatusGET	1645013427217	1645013428659	OK	 
USER	Way2Pay Credit Card Scenario 	10	END	1645013398685	1645013428660
REQUEST	11		Ways2Pay_030_ServiceRequestPOST	1645013433417	1645013434709	OK	 
REQUEST	11		Ways2Pay_040_W2PPBAPaymentsGET	1645013434710	1645013438666	OK	 
REQUEST	11		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013438666	1645013439796	OK	 
REQUEST	11		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013439797	1645013440502	OK	 
REQUEST	11		Ways2Pay_070_W2PCardPaymentStatusGET	1645013440502	1645013442037	OK	 
USER	Way2Pay Credit Card Scenario 	11	END	1645013421677	1645013442051
USER	Way2Pay Credit Card Scenario 	12	START	1645013444685	1645013444685
REQUEST	12		010_GetAuthToken	1645013444685	1645013445472	OK	 
REQUEST	12		020_GetServiceToken	1645013445474	1645013445662	OK	 
REQUEST	12		Ways2Pay_030_ServiceRequestPOST	1645013455683	1645013456257	OK	 
REQUEST	12		Ways2Pay_040_W2PPBAPaymentsGET	1645013456258	1645013460662	OK	 
REQUEST	12		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013460663	1645013462050	OK	 
REQUEST	12		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013462051	1645013463115	OK	 
REQUEST	12		Ways2Pay_070_W2PCardPaymentStatusGET	1645013463115	1645013464598	OK	 
USER	Way2Pay Credit Card Scenario 	12	END	1645013444685	1645013464599
USER	Way2Pay Credit Card Scenario 	13	START	1645013467685	1645013467685
REQUEST	13		010_GetAuthToken	1645013467686	1645013477057	OK	 
REQUEST	13		020_GetServiceToken	1645013477058	1645013477345	OK	 
REQUEST	13		Ways2Pay_030_ServiceRequestPOST	1645013487355	1645013488169	OK	 
REQUEST	13		Ways2Pay_040_W2PPBAPaymentsGET	1645013488170	1645013492070	OK	 
REQUEST	13		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645013492071	1645013493058	OK	 
REQUEST	13		Ways2Pay_060_W2PCreditCardPaymentPOST	1645013493059	1645013493771	OK	 
REQUEST	13		Ways2Pay_070_W2PCardPaymentStatusGET	1645013493772	1645013495123	OK	 
USER	Way2Pay Credit Card Scenario 	13	END	1645013467685	1645013495125
