RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645542698497	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1645542699429	1645542699429
USER	Way2Pay Pay By Account Scenario 	2	START	1645542699432	1645542699432
REQUEST	2		010_GetAuthToken	1645542699464	1645542699980	OK	 
REQUEST	1		010_GetAuthToken	1645542699464	1645542700060	OK	 
REQUEST	2		020_GetServiceToken	1645542700025	1645542700168	OK	 
REQUEST	1		020_GetServiceToken	1645542700063	1645542700215	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645542710153	1645542712244	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645542710226	1645542712491	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645542727502	1645542728652	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645542727251	1645542740688	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645542743642	1645542744908	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645542755682	1645542756849	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645542759924	1645542761975	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645542771847	1645542771889	KO	status.find.is(201), but actually found 400
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645542776964	1645542780025	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645542699432	1645542786895
USER	Way2Pay Credit Card Scenario 	1	END	1645542699429	1645542795034
