RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644399919755	XUI Journeys for all Services	3.3.1
USER	Add Order Scenario	1	START	1644399920669	1644399920669
REQUEST	1		PaymentAPIToken_010_GetAuthToken	1644399920695	1644399921030	OK	 
REQUEST	1		PaymentAPIToken_020_GetServiceToken	1644399921070	1644399921124	OK	 
USER	Add Order Scenario	2	START	1644399926679	1644399926679
REQUEST	2		PaymentAPIToken_010_GetAuthToken	1644399926680	1644399927024	OK	 
REQUEST	2		PaymentAPIToken_020_GetServiceToken	1644399927027	1644399927105	OK	 
REQUEST	1		PaymentAPIOrders_010_AddOrder	1644399931110	1644399931419	OK	 
USER	Add Order Scenario	3	START	1644399932674	1644399932674
REQUEST	3		PaymentAPIToken_010_GetAuthToken	1644399932675	1644399932947	OK	 
REQUEST	3		PaymentAPIToken_020_GetServiceToken	1644399932948	1644399932995	OK	 
REQUEST	2		PaymentAPIOrders_010_AddOrder	1644399937118	1644399937505	OK	 
USER	Add Order Scenario	4	START	1644399938683	1644399938683
REQUEST	4		PaymentAPIToken_010_GetAuthToken	1644399938684	1644399939135	OK	 
REQUEST	4		PaymentAPIToken_020_GetServiceToken	1644399939137	1644399939188	OK	 
USER	Add Order Scenario	1	END	1644399920669	1644399941426
REQUEST	3		PaymentAPIOrders_010_AddOrder	1644399943008	1644399943393	OK	 
USER	Add Order Scenario	5	START	1644399944685	1644399944685
REQUEST	5		PaymentAPIToken_010_GetAuthToken	1644399944685	1644399944946	OK	 
REQUEST	5		PaymentAPIToken_020_GetServiceToken	1644399944947	1644399945038	OK	 
USER	Add Order Scenario	2	END	1644399926679	1644399947501
REQUEST	4		PaymentAPIOrders_010_AddOrder	1644399949213	1644399949529	OK	 
USER	Add Order Scenario	6	START	1644399950683	1644399950683
REQUEST	6		PaymentAPIToken_010_GetAuthToken	1644399950684	1644399950988	OK	 
REQUEST	6		PaymentAPIToken_020_GetServiceToken	1644399950989	1644399951035	OK	 
USER	Add Order Scenario	3	END	1644399932674	1644399953398
REQUEST	5		PaymentAPIOrders_010_AddOrder	1644399955048	1644399955284	OK	 
USER	Add Order Scenario	7	START	1644399956686	1644399956686
REQUEST	7		PaymentAPIToken_010_GetAuthToken	1644399956687	1644399957734	OK	 
REQUEST	7		PaymentAPIToken_020_GetServiceToken	1644399957735	1644399957783	OK	 
USER	Add Order Scenario	4	END	1644399938683	1644399959528
REQUEST	6		PaymentAPIOrders_010_AddOrder	1644399961051	1644399961500	OK	 
USER	Add Order Scenario	8	START	1644399962664	1644399962664
REQUEST	8		PaymentAPIToken_010_GetAuthToken	1644399962665	1644399963314	OK	 
REQUEST	8		PaymentAPIToken_020_GetServiceToken	1644399963315	1644399963402	OK	 
USER	Add Order Scenario	5	END	1644399944685	1644399965290
REQUEST	7		PaymentAPIOrders_010_AddOrder	1644399967798	1644399967982	OK	 
USER	Add Order Scenario	9	START	1644399968674	1644399968674
REQUEST	9		PaymentAPIToken_010_GetAuthToken	1644399968675	1644399968943	OK	 
REQUEST	9		PaymentAPIToken_020_GetServiceToken	1644399968944	1644399968995	OK	 
USER	Add Order Scenario	6	END	1644399950683	1644399971508
REQUEST	8		PaymentAPIOrders_010_AddOrder	1644399973420	1644399973731	OK	 
USER	Add Order Scenario	10	START	1644399974676	1644399974676
REQUEST	10		PaymentAPIToken_010_GetAuthToken	1644399974677	1644399974939	OK	 
REQUEST	10		PaymentAPIToken_020_GetServiceToken	1644399974941	1644399974985	OK	 
USER	Add Order Scenario	7	END	1644399956686	1644399977978
REQUEST	9		PaymentAPIOrders_010_AddOrder	1644399979008	1644399979250	OK	 
USER	Add Order Scenario	8	END	1644399962664	1644399983738
REQUEST	10		PaymentAPIOrders_010_AddOrder	1644399984998	1644399985178	OK	 
USER	Add Order Scenario	9	END	1644399968674	1644399989248
USER	Add Order Scenario	10	END	1644399974676	1644399995179
