RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645543229489	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1645543230903	1645543230903
USER	Way2Pay Pay By Account Scenario 	2	START	1645543230904	1645543230904
REQUEST	2		010_GetAuthToken	1645543230942	1645543234112	OK	 
REQUEST	2		020_GetServiceToken	1645543234158	1645543236065	OK	 
REQUEST	1		010_GetAuthToken	1645543230942	1645543240962	OK	 
REQUEST	1		020_GetServiceToken	1645543240965	1645543241145	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645543246044	1645543248558	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645543251164	1645543253508	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645543268511	1645543269158	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645543263551	1645543276670	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645543284163	1645543285968	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645543291684	1645543293218	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645543300956	1645543302504	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645543308204	1645543308239	KO	status.find.is(201), but actually found 422
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645543317514	1645543319243	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645543230904	1645543323265
USER	Way2Pay Credit Card Scenario 	1	END	1645543230903	1645543334234
