RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645543525203	XUI Journeys for all Services	3.3.1
USER	Way2Pay Pay By Account Scenario 	2	START	1645543526249	1645543526249
USER	Way2Pay Credit Card Scenario 	1	START	1645543526246	1645543526246
REQUEST	2		010_GetAuthToken	1645543526284	1645543527332	OK	 
REQUEST	1		010_GetAuthToken	1645543526284	1645543527337	OK	 
REQUEST	1		020_GetServiceToken	1645543527391	1645543527433	OK	 
REQUEST	2		020_GetServiceToken	1645543527391	1645543527443	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645543537412	1645543540223	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645543555230	1645543556429	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645543537412	1645543565487	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645543571428	1645543572511	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645543587507	1645543588609	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645543580488	1645543598288	OK	 
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645543603592	1645543605617	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645543613281	1645543614705	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1645543526246	1645543620625
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645543629716	1645543630719	KO	status.find.is(201), but actually found 422
USER	Way2Pay Pay By Account Scenario 	2	END	1645543526249	1645543645712
