RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644925296525	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1644925298014	1644925298014
REQUEST	1		PaymentAPIToken_010_GetAuthToken	1644925298041	1644925300689	OK	 
REQUEST	1		PaymentAPIToken_020_GetServiceToken	1644925300731	1644925300934	OK	 
REQUEST	1		PaymentAPIViewPayments_010_ServiceRequestPOST	1644925310905	1644925313704	OK	 
REQUEST	1		PaymentAPIViewPayments_010_W2PPBAPaymentsGET	1644925313705	1644925318142	OK	 
REQUEST	1		PaymentAPIViewPayments_030_GetPaymentGroupReferenceByCase	1644925318144	1644925319749	OK	 
REQUEST	1		PaymentAPIViewPayments_010_W2PCreditCardPaymentPOST	1644925329774	1644925331411	OK	 
REQUEST	1		PaymentAPIViewPayments_010_W2PCardPaymentStatusGET	1644925331412	1644925333567	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1644925298014	1644925333572
