RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644852340867	XUI Journeys for all Services	3.3.1
USER	Way2Pay Scenario 	1	START	1644852341821	1644852341821
REQUEST	1		PaymentAPIToken_010_GetAuthToken	1644852341850	1644852342790	OK	 
REQUEST	1		PaymentAPIToken_020_GetServiceToken	1644852342832	1644852343321	OK	 
REQUEST	1		PaymentAPIViewPayments_010_ServiceRequest	1644852353299	1644852355558	OK	 
REQUEST	1		PaymentAPIViewPayments_010_PayByAccountPayments	1644852355559	1644852360099	OK	 
REQUEST	1		PaymentAPIViewPayments_030_GetPaymentGroupReferenceByCase	1644852360100	1644852361935	OK	 
REQUEST	1		PaymentAPIViewPayments_010_WaystoPayCreditCardPayment	1644852371946	1644852372866	OK	 
USER	Way2Pay Scenario 	1	END	1644852341821	1644852372872
