RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644946217394	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1644946218525	1644946218525
REQUEST	1		010_GetAuthToken	1644946218554	1644946220141	OK	 
REQUEST	1		020_GetServiceToken	1644946220184	1644946220307	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1644946230295	1644946232910	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1644946232913	1644946237312	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1644946237315	1644946239298	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1644946239299	1644946240720	OK	 
REQUEST	1		Ways2Pay_070_W2PCardPaymentStatusGET	1644946240721	1644946242405	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1644946218525	1644946242411
