RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644934806976	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1644934808449	1644934808449
REQUEST	1		010_GetAuthToken	1644934808479	1644934809085	OK	 
REQUEST	1		020_GetServiceToken	1644934809129	1644934809208	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1644934819194	1644934821855	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1644934821856	1644934826654	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1644934826656	1644934828622	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1644934828623	1644934830238	OK	 
REQUEST	1		Ways2Pay_070_W2PCardPaymentStatusGET	1644934830238	1644934832006	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1644934808449	1644934832010
