RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644934281154	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1644934282384	1644934282384
REQUEST	1		010_GetAuthToken	1644934282415	1644934283264	OK	 
REQUEST	1		020_GetServiceToken	1644934283308	1644934283457	OK	 
REQUEST	1		Ways2Pay__030_ServiceRequestPOST	1644934293445	1644934300041	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1644934300042	1644934304395	OK	 
REQUEST	1		Ways2Pay_050_GetPaymentGroupReferenceByCase	1644934304399	1644934305443	OK	 
REQUEST	1		Ways2Pay__010_W2PCreditCardPaymentPOST	1644934305443	1644934306933	OK	 
REQUEST	1		Ways2Pay__060_W2PCardPaymentStatusGET	1644934306934	1644934308577	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1644934282384	1644934308582
