RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644925636555	XUI Journeys for all Services	3.3.1
USER	Way2Pay Credit Card Scenario 	1	START	1644925637756	1644925637756
REQUEST	1		010_GetAuthToken	1644925637786	1644925638794	OK	 
REQUEST	1		020_GetServiceToken	1644925638851	1644925638929	OK	 
REQUEST	1		PaymentAPIViewPayments_010_ServiceRequestPOST	1644925648910	1644925651862	OK	 
REQUEST	1		PaymentAPIViewPayments_010_W2PPBAPaymentsGET	1644925651863	1644925656725	OK	 
REQUEST	1		PaymentAPIViewPayments_030_GetPaymentGroupReferenceByCase	1644925656726	1644925658095	OK	 
REQUEST	1		PaymentAPIViewPayments_010_W2PCreditCardPaymentPOST	1644925668090	1644925669605	OK	 
REQUEST	1		PaymentAPIViewPayments_010_W2PCardPaymentStatusGET	1644925669606	1644925671128	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1644925637756	1644925671132
