RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1644419549979	XUI Journeys for all Services	3.3.1
USER	Add Order Scenario	1	START	1644419551109	1644419551109
REQUEST	1		PaymentAPIToken_010_GetAuthToken	1644419551134	1644419551462	OK	 
REQUEST	1		PaymentAPIToken_020_GetServiceToken	1644419551504	1644419551619	OK	 
USER	Add Order Scenario	2	START	1644419557101	1644419557101
REQUEST	2		PaymentAPIToken_010_GetAuthToken	1644419557102	1644419558809	OK	 
REQUEST	2		PaymentAPIToken_020_GetServiceToken	1644419558811	1644419559280	OK	 
REQUEST	1		PaymentAPIOrders_010_AddOrder	1644419561611	1644419562958	OK	 
USER	Add Order Scenario	3	START	1644419563101	1644419563101
REQUEST	3		PaymentAPIToken_010_GetAuthToken	1644419563102	1644419564294	OK	 
REQUEST	3		PaymentAPIToken_020_GetServiceToken	1644419564296	1644419564348	OK	 
USER	Add Order Scenario	4	START	1644419569102	1644419569102
REQUEST	4		PaymentAPIToken_010_GetAuthToken	1644419569103	1644419569422	OK	 
REQUEST	4		PaymentAPIToken_020_GetServiceToken	1644419569424	1644419569470	OK	 
REQUEST	2		PaymentAPIOrders_010_AddOrder	1644419569290	1644419570935	OK	 
USER	Add Order Scenario	1	END	1644419551109	1644419572963
USER	Add Order Scenario	5	START	1644419575104	1644419575104
REQUEST	5		PaymentAPIToken_010_GetAuthToken	1644419575105	1644419577400	OK	 
REQUEST	3		PaymentAPIOrders_010_AddOrder	1644419574368	1644419577463	OK	 
REQUEST	5		PaymentAPIToken_020_GetServiceToken	1644419577402	1644419578171	OK	 
REQUEST	4		PaymentAPIOrders_010_AddOrder	1644419579491	1644419579879	OK	 
USER	Add Order Scenario	2	END	1644419557101	1644419580947
USER	Add Order Scenario	6	START	1644419581121	1644419581121
REQUEST	6		PaymentAPIToken_010_GetAuthToken	1644419581122	1644419581705	OK	 
REQUEST	6		PaymentAPIToken_020_GetServiceToken	1644419581706	1644419582049	OK	 
USER	Add Order Scenario	7	START	1644419587103	1644419587103
REQUEST	7		PaymentAPIToken_010_GetAuthToken	1644419587104	1644419587433	OK	 
USER	Add Order Scenario	3	END	1644419563101	1644419587452
REQUEST	7		PaymentAPIToken_020_GetServiceToken	1644419587434	1644419587555	OK	 
REQUEST	5		PaymentAPIOrders_010_AddOrder	1644419588185	1644419588369	OK	 
USER	Add Order Scenario	4	END	1644419569102	1644419589872
REQUEST	6		PaymentAPIOrders_010_AddOrder	1644419592074	1644419592717	OK	 
USER	Add Order Scenario	8	START	1644419593121	1644419593121
REQUEST	8		PaymentAPIToken_010_GetAuthToken	1644419593122	1644419593760	OK	 
REQUEST	8		PaymentAPIToken_020_GetServiceToken	1644419593762	1644419593806	OK	 
USER	Add Order Scenario	5	END	1644419575104	1644419598371
REQUEST	7		PaymentAPIOrders_010_AddOrder	1644419597563	1644419598707	OK	 
USER	Add Order Scenario	9	START	1644419599124	1644419599124
REQUEST	9		PaymentAPIToken_010_GetAuthToken	1644419599125	1644419599944	OK	 
REQUEST	9		PaymentAPIToken_020_GetServiceToken	1644419599945	1644419600004	OK	 
USER	Add Order Scenario	6	END	1644419581121	1644419602712
REQUEST	8		PaymentAPIOrders_010_AddOrder	1644419603824	1644419604340	OK	 
USER	Add Order Scenario	10	START	1644419605121	1644419605121
REQUEST	10		PaymentAPIToken_010_GetAuthToken	1644419605122	1644419606215	OK	 
REQUEST	10		PaymentAPIToken_020_GetServiceToken	1644419606217	1644419606270	OK	 
USER	Add Order Scenario	7	END	1644419587103	1644419608714
REQUEST	9		PaymentAPIOrders_010_AddOrder	1644419610029	1644419611434	OK	 
USER	Add Order Scenario	8	END	1644419593121	1644419614321
REQUEST	10		PaymentAPIOrders_010_AddOrder	1644419616282	1644419616688	OK	 
USER	Add Order Scenario	9	END	1644419599124	1644419621440
USER	Add Order Scenario	10	END	1644419605121	1644419626692
