RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645542502159	XUI Journeys for all Services	3.3.1
USER	Way2Pay Pay By Account Scenario 	2	START	1645542503270	1645542503270
USER	Way2Pay Credit Card Scenario 	1	START	1645542503265	1645542503265
REQUEST	1		010_GetAuthToken	1645542503302	1645542503796	OK	 
REQUEST	1		020_GetServiceToken	1645542503840	1645542503988	OK	 
REQUEST	2		010_GetAuthToken	1645542503302	1645542504034	OK	 
REQUEST	2		020_GetServiceToken	1645542504037	1645542504090	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645542513978	1645542518187	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645542514105	1645542518190	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645542533194	1645542534042	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645542533208	1645542548056	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645542549020	1645542551493	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645542563035	1645542565507	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645542566507	1645542569448	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645542580515	1645542580630	KO	status.find.is(201), but actually found 422
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645542584440	1645542588413	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645542503270	1645542595627
USER	Way2Pay Credit Card Scenario 	1	END	1645542503265	1645542603425
