RUN	uk.gov.hmcts.paybubble.simulation.CCPaybubbleSCN	ccpaybubblescn	1645099378740	XUI Journeys for all Services	3.3.1
USER	Way2Pay Pay By Account Scenario 	2	START	1645099379968	1645099379968
USER	Way2Pay Credit Card Scenario 	1	START	1645099379967	1645099379967
REQUEST	2		010_GetAuthToken	1645099380008	1645099381922	OK	 
REQUEST	1		010_GetAuthToken	1645099380008	1645099381911	OK	 
REQUEST	1		020_GetServiceToken	1645099381968	1645099382208	OK	 
REQUEST	2		020_GetServiceToken	1645099381968	1645099382206	OK	 
REQUEST	1		Ways2Pay_030_ServiceRequestPOST	1645099392183	1645099395918	OK	 
REQUEST	2		Ways2Pay_030_ServiceRequestPOST	1645099392192	1645099395938	OK	 
REQUEST	2		Ways2Pay_040_W2PPBAPaymentsGET	1645099410922	1645099416056	OK	 
REQUEST	1		Ways2Pay_040_W2PPBAPaymentsGET	1645099410922	1645099416586	OK	 
REQUEST	2		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645099431085	1645099432329	OK	 
REQUEST	1		Ways2Pay_050_PaymentGroupReferenceByCaseGET	1645099431582	1645099432903	OK	 
REQUEST	2		Ways2Pay_070_W2PPBAPaymentsPOST	1645099447312	1645099448518	OK	 
REQUEST	1		Ways2Pay_060_W2PCreditCardPaymentPOST	1645099447902	1645099449696	OK	 
USER	Way2Pay Pay By Account Scenario 	2	END	1645099379968	1645099463531
REQUEST	1		Ways2Pay_080_W2PCardPaymentStatusGET	1645099464682	1645099466332	OK	 
USER	Way2Pay Credit Card Scenario 	1	END	1645099379967	1645099481350
